iter	Passed	Remaining
0	7	718
1	12	615
2	16	534
3	20	501
4	26	504
5	31	493
6	37	493
7	41	482
8	46	465
9	50	450
10	55	448
11	60	440
12	64	430
13	68	422
14	73	414
15	77	405
16	81	396
17	86	394
18	91	391
19	97	388
20	102	384
21	106	378
22	110	371
23	115	365
24	119	359
25	124	353
26	128	347
27	132	341
28	137	337
29	142	331
30	146	326
31	150	320
32	155	314
33	159	309
34	163	303
35	167	297
36	171	292
37	176	287
38	180	281
39	184	276
40	189	272
41	193	267
42	197	261
43	201	256
44	205	251
45	209	246
46	213	240
47	217	235
48	221	230
49	225	225
50	229	220
51	234	216
52	238	211
53	242	206
54	246	201
55	250	197
56	254	192
57	258	187
58	262	182
59	266	177
60	271	173
61	274	168
62	278	163
63	283	159
64	287	154
65	291	150
66	295	145
67	299	140
68	303	136
69	307	131
70	311	127
71	315	122
72	319	118
73	323	113
74	327	109
75	332	104
76	336	100
77	340	95
78	344	91
79	348	87
80	352	82
81	356	78
82	360	73
83	364	69
84	368	64
85	372	60
86	377	56
87	381	51
88	384	47
89	389	43
90	393	38
91	397	34
92	401	30
93	405	25
94	409	21
95	413	17
96	417	12
97	422	8
98	426	4
99	430	0
